,Image,Response,Time,Q1 Label,Q2 Label,Q3 Label,Q4 Label
32,HBG510.JPG,"[1, 2]",6.615,Hit,Hit,Correct rejection,Correct rejection
33,HBG33.JPG,"[1, 2]",4.414,Hit,Hit,Miss,Correct rejection
34,HB126.JPG,"[1, 3, 4]",5.724,Hit,Correct rejection,Hit,Hit
35,HBR1.JPG,[4],8.719,Miss,Correct rejection,Correct rejection,False alarm
36,HBY23.JPG,"[1, 4]",2.110,Hit,Correct rejection,Correct rejection,Hit
37,HBY58.JPG,"[1, 2, 4]",8.225,Hit,Hit,Correct rejection,False alarm
38,HBR34.JPG,"[1, 2, 3, 4]",6.827,False alarm,Hit,Hit,Hit
39,HBG93.JPG,"[2, 3]",3.814,Correct rejection,Hit,Hit,Correct rejection
40,HBG84.JPG,"[1, 2, 3, 4]",7.128,Hit,Hit,Hit,Hit
41,HBY136.JPG,[1],6.218,Hit,Correct rejection,Correct rejection,Correct rejection
42,HBR46.JPG,"[3, 4]",5.113,Miss,Miss,Hit,Hit
43,HBY94.JPG,[2],15.723,Miss,Hit,Correct rejection,Correct rejection
44,HBY4.JPG,"[1, 2, 3, 4]",7.640,Hit,Hit,False alarm,False alarm
45,HBG485.JPG,"[2, 3]",4.413,Correct rejection,Hit,Hit,Correct rejection
46,HBY107.JPG,"[1, 2, 3, 4]",3.321,Hit,Hit,Hit,Hit
47,HBR24.JPG,"[1, 4]",4.716,Hit,Miss,Miss,Hit
48,HBY160.JPG,"[1, 2, 3, 4]",4.121,Hit,Hit,Hit,Hit
49,HBG187.JPG,"[1, 3, 4]",12.129,False alarm,Correct rejection,False alarm,Hit
50,HBG483.JPG,[3],3.008,Correct rejection,Correct rejection,Hit,Correct rejection
51,HBG484.JPG,[3],10.017,Correct rejection,Miss,Hit,Correct rejection
52,HBY96.JPG,"[1, 2]",4.013,Hit,Hit,Correct rejection,Correct rejection
53,HBY106.JPG,"[1, 2, 3, 4]",3.923,Hit,Hit,Hit,False alarm
54,HBY115.JPG,"[1, 2, 4]",9.325,Hit,False alarm,Correct rejection,Hit
55,HBY93.JPG,"[1, 2, 3, 4]",8.138,Hit,Hit,False alarm,False alarm
